"","time","amo","amoNorm","amoInt","amoDInt"
"261",1994-09-15,-0.18,-1.17747513252464,-1.12087244283316,-1.09060572681758
"262",1994-10-15,0.04,-0.554845545918366,-1.07370353475693,-1.09296417222139
"263",1994-11-15,0.18,-0.158626718078008,-0.991157945623523,-1.09060572681758
"264",1994-12-15,0.13,-0.300133442306707,-0.925121474316797,-1.08176155655329
"265",1995-01-15,0.19,-0.130325373232268,-0.833142103568142,-1.06132169638692
"266",1995-02-15,0.17,-0.186928062923748,-0.741162732819487,-1.02967922055245
"267",1995-03-15,0.2,-0.102024028386528,-0.653900252878456,-0.99056833427257
"268",1995-04-15,0.27,0.0960853855336515,-0.583146890764106,-0.945757871600149
"269",1995-05-15,0.4,0.46400286852827,-0.4605077297659,-0.889941330376606
"270",1995-06-15,0.45,0.60550959275697,-0.323717896344824,-0.82390485906988
"271",1995-07-15,0.45,0.60550959275697,-0.177494281308501,-0.748631143264891
"272",1995-08-15,0.39,0.43570152368253,-0.0336291116759898,-0.659796366387985
"273",1995-09-15,0.19,-0.130325373232268,0.0536333682650416,-0.561920882129801
"274",1995-10-15,0.28,0.124386730379391,0.110236057956521,-0.46325924940368
"275",1995-11-15,0.27,0.0960853855336515,0.131462066590826,-0.369707581719151
"276",1995-12-15,0.19,-0.130325373232268,0.145612739013696,-0.280479730608277
"277",1996-01-15,0.13,-0.300133442306707,0.131462066590826,-0.200096049761696
"278",1996-02-15,0.06,-0.498242856226887,0.105519167148898,-0.129539224764331
"279",1996-03-15,-0.04,-0.781256304684286,0.0489164774574183,-0.0709711639030077
"280",1996-04-15,0.11,-0.356736131998187,0.0111813509964317,-0.0214438104229629
"281",1996-05-15,0,-0.668050925301326,-0.0831564651560346,0.0100021282945259
"282",1996-06-15,-0.03,-0.752954959838546,-0.196361844538994,0.0206151326116784
"283",1996-07-15,-0.08,-0.894461684067245,-0.321359450941012,0.00862636847563576
"284",1996-08-15,0.09,-0.413338821689667,-0.392112813055362,-0.0212472733059786
"285",1996-09-15,0.1,-0.385037476843927,-0.413338821689667,-0.0601616224688709
"286",1996-10-15,-0.03,-0.752954959838546,-0.486450629207828,-0.1098855130659
"287",1996-11-15,-0.04,-0.781256304684286,-0.55956243672599,-0.167470888342301
"288",1996-12-15,-0.03,-0.752954959838546,-0.611448235609846,-0.230559302894263
"289",1997-01-15,0.13,-0.300133442306707,-0.611448235609846,-0.292468494744319
"290",1997-02-15,0.2,-0.102024028386528,-0.578429999956483,-0.349464258669768
"291",1997-03-15,0.18,-0.158626718078008,-0.526544201072626,-0.397419315213938
"292",1997-04-15,0.12,-0.328434787152447,-0.524185755668815,-0.442033240769375
"293",1997-05-15,0.13,-0.300133442306707,-0.493525965419263,-0.476230699124644
"294",1997-06-15,0.05,-0.526544201072626,-0.47465840218877,-0.499422078928792
"295",1997-07-15,0.18,-0.158626718078008,-0.413338821689667,-0.50708702649118
"296",1997-08-15,0.13,-0.300133442306707,-0.40390504007442,-0.508069712076102
"297",1997-09-15,0.23,-0.0171199938493082,-0.373245249824869,-0.504728581087369
"298",1997-10-15,0.36,0.350797489145311,-0.281265879076214,-0.487629851909734
"299",1997-11-15,0.23,-0.0171199938493082,-0.217587853173299,-0.45913196994701
"300",1997-12-15,0.24,0.0111813509964317,-0.153909827270384,-0.421003769252055
"301",1998-01-15,0.3,0.180989420070871,-0.113816255405586,-0.379534437568366
"302",1998-02-15,0.38,0.40740017883679,-0.0713642381369763,-0.337278957416741
"303",1998-03-15,0.37,0.37909883399105,-0.0265537754645548,-0.295613088616068
"304",1998-04-15,0.36,0.350797489145311,0.030048914226925,-0.249426866124757
"305",1998-05-15,0.43,0.54890690306549,0.100802276341275,-0.199899512644712
"306",1998-06-15,0.65,1.17153648967177,0.242309000569974,-0.140152229081483
"307",1998-07-15,0.57,0.945125730905848,0.334288371318629,-0.0778499629974584
"308",1998-08-15,0.7,1.31304321390047,0.468719759335893,-0.0051312297132656
"309",1998-09-15,0.45,0.60550959275697,0.52060555821975,0.069356337623786
"310",1998-10-15,0.48,0.690413627294189,0.54890690306549,0.138537402802261
"311",1998-11-15,0.49,0.718714972139929,0.610226483564593,0.207521930863752
"312",1998-12-15,0.47,0.662112282448449,0.664470727852261,0.275720310457306
"313",1999-01-15,0.23,-0.0171199938493082,0.64796161002558,0.339201799243237
"314",1999-02-15,0.18,-0.158626718078008,0.600792701949346,0.395214877583763
"315",1999-03-15,0.18,-0.158626718078008,0.555982239276925,0.443759545478887
"316",1999-04-15,0.29,0.152688075225131,0.539473121450243,0.486211562747497
"317",1999-05-15,0.45,0.60550959275697,0.544190012257866,0.523160540740546
"318",1999-06-15,0.41,0.49230421337401,0.487587322566387,0.543600400906914
"319",1999-07-15,0.37,0.37909883399105,0.440418414490154,0.552444571171207
"320",1999-08-15,0.52,0.803619006677149,0.397966397221544,0.546548457661678
"321",1999-09-15,0.45,0.60550959275697,0.397966397221544,0.536328527578494
"322",1999-10-15,0.25,0.0394826958421716,0.343722152933876,0.51922979840086
"323",1999-11-15,0.12,-0.328434787152447,0.256459672992844,0.489749230853214
"324",1999-12-15,0.25,0.0394826958421716,0.204573874108988,0.451424493041275
"325",2000-01-15,0.11,-0.356736131998187,0.176272529263248,0.412117069644414
"326",2000-02-15,0.17,-0.186928062923748,0.173914083859436,0.376543851470254
"327",2000-03-15,0.36,0.350797489145311,0.216366101128046,0.348242506624515
"328",2000-04-15,0.25,0.0394826958421716,0.206932319512799,0.320530773129728
"329",2000-05-15,0.32,0.237592109762351,0.176272529263248,0.289870982880176
"330",2000-06-15,0.14,-0.271832097460967,0.112594503360333,0.258621581279672
"331",2000-07-15,0.2,-0.102024028386528,0.0725009314955348,0.22796179103012
"332",2000-08-15,0.22,-0.0454213386950481,0.00174756938118508,0.194943555376757
