,time,ao,aoNorm,aoInt,aoDInt
396,15-12-05,-2.1039,-2.081947014,-0.37970182,-0.134574688
397,15-01-06,-0.1705,-0.178060982,-0.422923467,-0.167148891
398,15-02-06,-0.1558,-0.163585382,-0.331441615,-0.193863238
399,15-03-06,-1.6038,-1.5894812,-0.352441082,-0.210934708
400,15-04-06,0.1383,0.126025087,-0.337300786,-0.229228206
401,15-05-06,0.1558,0.143257944,-0.26187011,-0.236660218
402,15-06-06,1.0708,1.044290177,-0.142553091,-0.233141843
403,15-07-06,0.1027,0.090968533,-0.131647154,-0.229879225
404,15-08-06,-0.2652,-0.271315356,-0.155551589,-0.233712168
405,15-09-06,0.6065,0.587077865,-0.171627382,-0.238525059
406,15-10-06,-1.0291,-1.023554179,-0.258522012,-0.254307484
407,15-11-06,0.5213,0.50317847,-0.234428836,-0.265000745
408,15-12-06,2.2817,2.236705403,0.125458865,-0.222904021
409,15-01-07,2.0338,1.992589675,0.30634642,-0.162131531
410,15-02-07,-1.3069,-1.297113474,0.211885745,-0.116854251
411,15-03-07,1.1821,1.153891147,0.440500108,-0.050775818
412,15-04-07,0.5443,0.525827368,0.473816964,0.016817327
413,15-05-07,0.8937,0.869893665,0.534369941,0.083170665
414,15-06-07,-0.555,-0.556691467,0.400954804,0.12846299
415,15-07-07,-0.3965,-0.40061102,0.359989841,0.169432739
416,15-08-07,-0.0337,-0.043349278,0.378987015,0.213977623
417,15-09-07,0.1789,0.166005315,0.343897636,0.256938041
418,15-10-07,0.3835,0.367482031,0.45981732,0.316799652
419,15-11-07,-0.5187,-0.520945598,0.374473647,0.367541526
420,15-12-07,0.8211,0.798401928,0.254615024,0.378304539
421,15-01-08,0.819,0.796333985,0.15492705,0.365686258
422,15-02-08,0.9381,0.913615885,0.339154497,0.376291987
423,15-03-08,0.5856,0.56649691,0.290204977,0.363767393
424,15-04-08,-0.455,-0.458217999,0.208201196,0.341632746
425,15-05-08,-1.2047,-1.196473589,0.036003925,0.300102244
426,15-06-08,-0.0898,-0.098592893,0.074178806,0.272870911
427,15-07-08,-0.4799,-0.482737892,0.0673349,0.248483
428,15-08-08,-0.0805,-0.089434861,0.063494435,0.222191951
429,15-09-08,-0.3266,-0.331778066,0.022012487,0.195368189
430,15-10-08,1.6758,1.640054659,0.128060206,0.167721763
431,15-11-08,0.0922,0.080628819,0.178191407,0.151364909
432,15-12-08,0.6478,0.627747407,0.163970197,0.143811174
433,15-01-09,0.7997,0.777328605,0.162386415,0.144432787
434,15-02-09,-0.6723,-0.672200845,0.030235021,0.118689498
435,15-03-09,0.1213,0.109284598,-0.007866005,0.093850249
436,15-04-09,0.9725,0.947490758,0.109276392,0.085606516
437,15-05-09,1.1937,1.16531407,0.30609203,0.108113858
438,15-06-09,-1.3507,-1.340244853,0.202621033,0.118817377
439,15-07-09,-1.3559,-1.345365473,0.130735402,0.124100752
440,15-08-09,-0.0537,-0.063043971,0.132934642,0.129887436
441,15-09-09,0.8745,0.850986759,0.231498378,0.147344593
442,15-10-09,-1.5399,-1.526556654,-0.032385898,0.133974085
443,15-11-09,0.4589,0.441731026,-0.002294048,0.11893363
444,15-12-09,-3.4128,-3.370866238,-0.335511851,0.077310126
445,15-01-10,-2.5868,-2.557475392,-0.613412185,0.012660243
446,15-02-10,-4.2657,-4.210746448,-0.908290985,-0.065550258
447,15-03-10,-0.4321,-0.435667575,-0.953703666,-0.144370063
448,15-04-10,-0.2745,-0.280473389,-1.056034011,-0.241479263
449,15-05-10,-0.9186,-0.914740997,-1.229371934,-0.369434594
450,15-06-10,-0.013,-0.02296527,-1.119598635,-0.479619566
451,15-07-10,0.4353,0.418491288,-0.972610572,-0.571565064
452,15-08-10,-0.1166,-0.124983783,-0.977772223,-0.664123969
453,15-09-10,-0.8646,-0.861565324,-1.120484896,-0.776789242
454,15-10-10,-0.467,-0.470034815,-1.03244141,-0.860127201
455,15-11-10,-0.3757,-0.380128539,-1.100929707,-0.951680173
456,15-12-10,-2.631,-2.601000665,-1.036774242,-1.010118705
457,15-01-11,-1.6831,-1.667570661,-0.962615515,-1.039218983
458,15-02-11,1.5754,1.541187297,-0.483287703,-1.003802043
459,15-03-11,1.4241,1.39219694,-0.33096566,-0.951907209
460,15-04-11,2.2748,2.229910733,-0.121766983,-0.874051623
461,15-05-11,-0.0351,-0.044727906,-0.049265892,-0.775709453
462,15-06-11,-0.8578,-0.854869128,-0.118591214,-0.692292168
463,15-07-11,-0.4716,-0.474564595,-0.193012537,-0.627325665
464,15-08-11,-1.0626,-1.056542791,-0.270642454,-0.568398184
465,15-09-11,0.6647,0.644389423,-0.145146225,-0.487119962
466,15-10-11,0.7998,0.777427079,-0.041191068,-0.404515767
467,15-11-11,1.4592,1.426761127,0.109383071,-0.303656368
468,15-12-11,2.2208,2.17673506,0.507527715,-0.174964539
469,15-01-12,-0.2197,-0.226509928,0.627616109,-0.042445237
470,15-02-12,-0.0363,-0.045909588,0.495358036,0.039108575
471,15-03-12,1.0371,1.011104619,0.463600342,0.105322408
472,15-04-12,-0.0346,-0.044235539,0.274088153,0.138310336
473,15-05-12,0.1684,0.155665601,0.290787612,0.166648128
474,15-06-12,-0.6724,-0.672299318,0.306001763,0.202030876
475,15-07-12,0.1678,0.15507476,0.358471709,0.247987897
476,15-08-12,0.014,0.003622567,0.446818822,0.307776337
477,15-09-12,0.7722,0.750248402,0.455640403,0.357841889
478,15-10-12,-1.514,-1.501052026,0.265767145,0.38342174
479,15-11-12,-0.1106,-0.119075375,0.136947436,0.38571877
480,15-12-12,-1.7486,-1.732070782,-0.188786384,0.327692595
481,15-01-13,-0.6095,-0.610359507,-0.220773849,0.256993432
482,15-02-13,-1.0074,-1.002185437,-0.300463503,0.190674971
483,15-03-13,-3.1854,-3.146937572,-0.646967019,0.098127691
484,15-04-13,0.3222,0.307117795,-0.617687574,0.023813047
485,15-05-13,0.494,0.476295213,-0.59096844,-0.049666624
486,15-06-13,0.5487,0.5301602,-0.49076348,-0.116063728
487,15-07-13,-0.0111,-0.021094274,-0.505444233,-0.188056723
488,15-08-13,0.1542,0.141682369,-0.493939249,-0.266453229
489,15-09-13,-0.4609,-0.464027933,-0.595128944,-0.354017341
490,15-10-13,0.2628,0.248624555,-0.449322562,-0.41360815
491,15-11-13,2.029,1.987862949,-0.273744369,-0.447832467
492,15-12-13,1.4749,1.442221462,-0.009220015,-0.432868603
493,15-01-14,-0.9688,-0.964174678,-0.038704613,-0.417696167
494,15-02-14,0.0438,0.03296766,0.047558146,-0.388694363
495,15-03-14,1.2058,1.177229359,0.40790539,-0.300788329
